data,hora,taxa
2022/09/30,21:31:37,13.49910053251309
2022/09/30,21:31:40,13.895620029293283
2022/09/30,21:31:42,13.414622333337483
2022/09/30,21:31:44,13.464029082023114
2022/09/30,21:31:46,13.296522589682777
2022/09/30,21:31:48,13.916954461687583
2022/09/30,21:31:51,14.10454188188764
2022/09/30,21:31:53,13.642414571270132
2022/09/30,21:31:55,13.653757452383836
2022/09/30,21:31:57,13.429940668106227
2022/09/30,21:45:20,13.884856878534864
2022/09/30,21:45:22,13.800327454317307
2022/09/30,21:45:24,14.052580670626512
2022/09/30,21:45:26,13.801909920503432
2022/09/30,21:45:28,13.511617911335959
2022/09/30,21:45:30,13.230368354146982
2022/09/30,21:45:32,13.605804534590584
2022/09/30,21:45:35,14.093923276375293
2022/09/30,21:45:38,13.184757147688225
2022/09/30,21:45:40,13.686084275286245
